title,price,comments,details_urls,shoop
耳其杏干500g大杏干新疆杏脯无核大黑杏干原色原味孕妇零食 黑杏干500g*1罐,39.00,500,https://item.m.jd.com/product/10031169460105.html?_fd=jdm&amp;price=39.00&amp;fs=1,中国特产·邛崃助农馆
问君 红杏干 蜜饯果干 新疆特产办公室休闲零食杏脯 树上干杏500g/袋 500g【偏酸杏条】,49.90,500,https://item.m.jd.com/product/71422846528.html?_fd=jdm&amp;price=49.90&amp;fs=1,问君红枣官方旗舰店
新疆伊犁古力拜果丹皮苹果杏子味180g*2盒小时候的味道儿童零食 杏子180g+树莓180g+苹果180g,49.00,2,https://item.m.jd.com/product/10036045632142.html?_fd=jdm&amp;price=49.00&amp;fs=1,爱果水果专营店
蔚献无核新疆杏干500g无添加不加糖孕妇酸甜零食果干果脯蜜饯休闲食品 500g,48.80,17,https://item.m.jd.com/product/10032502267381.html?_fd=jdm&amp;price=48.80&amp;fs=1,蔚献食品官方旗舰店
大漠马卡龙杏包仁  120g 杏干新疆特产大漠马卡龙杏包仁吊死干年货零食 【杏包仁120g】,18.62,2,https://item.m.jd.com/product/10038433747145.html?_fd=jdm&amp;price=18.62&amp;fs=1,MUMUCREAN营养保健旗舰店
吊干杏干无添加天然新疆特产2021年新货特级树上干杏脯新疆杏干  2斤,85.10,18,https://item.m.jd.com/product/10035482940727.html?_fd=jdm&amp;price=85.10&amp;fs=1,壹缘堂零食专营店
【乌鲁木齐馆】新疆网红奶枣巴旦木夹心杏仁大枣 奶酪红枣 独立包装袋装 方便零食新货 奶酪泡芙枣 5kg箱装（原包装箱装）,439.00,87,https://item.m.jd.com/product/10035628054954.html?_fd=jdm&amp;price=439.00&amp;fs=1,中国特产·乌鲁木齐馆
5折 宏泰记系列整袋5斤 杨梅乌梅柠檬话梅西梅果脯干蜜饯零食 新疆玉杏(整袋5斤),123.50,1,https://item.m.jd.com/product/64715972530.html?_fd=jdm&amp;price=123.50&amp;fs=1,初然食品专营店
微帆 新疆特产250g杏干杏脯无核杏肉整件优惠 原味,29.50,0,https://item.m.jd.com/product/56754083667.html?_fd=jdm&amp;price=29.50&amp;fs=1,微帆休闲食品专营店
阿弟仔红杏干100g无核杏脯果脯蜜饯新疆办公室休闲零食网红小吃特产果干 红杏干100g*1包,23.80,80,https://item.m.jd.com/product/69698493004.html?_fd=jdm&amp;price=23.80&amp;fs=1,阿弟仔旗舰店
【巴州馆】新疆特产树上杏干 四团吊干杏 干果蜜饯新货休闲零食果脯 超特级吊干杏（500g*1袋）,39.00,88,https://item.m.jd.com/product/10033787825812.html?_fd=jdm&amp;price=39.00&amp;fs=1,中国特产·巴州馆
梅情梅趣甘草杏甘草杏肉独立小包装阿梅肉杏脯蜜饯杏条新疆杏干 阿梅肉500克(无核),25.16,19,https://item.m.jd.com/product/10025690544933.html?_fd=jdm&amp;price=25.16&amp;fs=1,顺谷进口食品专营店
丝路印象干果来自新疆的礼物杏干丝路印象干果新疆特产新货大杏仁新疆农户干果肉脯 (精品装)无核大黑杏500g,77.40,4,https://item.m.jd.com/product/10041112824829.html?_fd=jdm&amp;price=77.40&amp;fs=1,畅欧泰尚干货专营店
新疆杏包仁大漠马卡龙天然吊死杏干夹仁甘草杏脯杏肉树上干杏 杏包核桃仁120gx3袋,58.50,2,https://item.m.jd.com/product/10035218389060.html?_fd=jdm&amp;price=58.50&amp;fs=1,依恋帕斯休闲食品专营店
新疆小白杏干库车甜杏干树上干杏无添加 【特级】小白杏干2斤装,128.00,200,https://item.m.jd.com/product/65009851331.html?_fd=jdm&amp;price=128.00&amp;fs=1,晓器猴食品专营店
新疆特产有机树上干杏吊干杏 伊杏皇吊死干杏干办公室休闲零食果干果脯 500g/袋 1袋装,36.80,47,https://item.m.jd.com/product/70656655255.html?_fd=jdm&amp;price=36.80&amp;fs=1,中国特产·新疆兵团一二六团馆
杏干新货2斤树上干杏天然晾晒新鲜新疆特产吊干杏 一级新货200g(品尝),22.00,5,https://item.m.jd.com/product/67680413024.html?_fd=jdm&amp;price=22.00&amp;fs=1,采瑞园艺专营店
阳高杏脯250g山西特产大同杏埔散装酸甜杏肉非新疆天然无杏干 蜂蜜杏脯半斤(甜酸),31.00,0,https://item.m.jd.com/product/65738063094.html?_fd=jdm&amp;price=31.00&amp;fs=1,班之宇食品饮料专营店
安萁 杏干无添加无核原味杏脯新疆土耳其杏干500g原色原味孕妇零食 黑杏干250gX2罐,49.80,1000,https://item.m.jd.com/product/10024747426689.html?_fd=jdm&amp;price=49.80&amp;fs=1,安萁官方旗舰店
无苦集新疆特产喀什大黑杏干500g天然无特级树上杏干1,79.00,3,https://item.m.jd.com/product/71504380824.html?_fd=jdm&amp;price=79.00&amp;fs=1,班之宇食品饮料专营店
新疆新红杏干无核杏脯果脯罐装酸甜杏子蜜饯孕妇零食无添加 新货罐装红杏干500g,60.00,5,https://item.m.jd.com/product/10031270559306.html?_fd=jdm&amp;price=60.00&amp;fs=1,桂福堂零食专营店
枣粮先生  奶枣网红休闲健康零食杏仁巴旦木夹心新疆红枣奶芙  多口味奶酪枣 （含巴旦木）杏心奶枣125g*2,32.90,5000,https://item.m.jd.com/product/10023593537763.html?_fd=jdm&amp;price=32.90&amp;fs=1,枣粮先生旗舰店
正宗新疆和田大枣特级大红枣批发玉骏枣非加工1斤3斤5斤新货 精选和田大枣【1斤装】,13.88,5,https://item.m.jd.com/product/10037847151949.html?_fd=jdm&amp;price=13.88&amp;fs=1,苏亚特产专营店
山西特产休闲零食杏肉杏条阳高杏脯500g×3袋无核新疆杏干条 原味酸甜杏条3袋,84.00,100,https://item.m.jd.com/product/69885885443.html?_fd=jdm&amp;price=84.00&amp;fs=1,好味铺园艺专营店
5折 杏干原味 新疆伊犁四团吊干杏树上杏干吊死干原味杏包仁XG 小杏干500g,29.50,6,https://item.m.jd.com/product/71440810823.html?_fd=jdm&amp;price=29.50&amp;fs=1,贝乐时光特产专营店
新疆特产无核杏干 红杏肉吊死干果脯杏脯500g,78.50,16,https://item.m.jd.com/product/71058265191.html?_fd=jdm&amp;price=78.50&amp;fs=1,澳荣联德食品专营店
杏仁奶枣 500g夹心奶酪枣 新疆灰枣夹杏仁巴旦木仁零食 (不含巴旦木）奶枣1000g,85.50,200,https://item.m.jd.com/product/10038266874680.html?_fd=jdm&amp;price=85.50&amp;fs=1,中国特产·特克斯助农馆
丝路印象干果来自新疆的礼物杏干丝路印象干果新疆特产新货大杏仁新疆农户干果肉脯 无核黑杏200g*1包,32.40,4,https://item.m.jd.com/product/10041112824827.html?_fd=jdm&amp;price=32.40&amp;fs=1,畅欧泰尚干货专营店
土耳其黄杏干特级酸甜杏脯杏干500g新疆特产杏肉干孕妇天然无1 黄杏脯1斤+黑杏脯1斤,134.00,0,https://item.m.jd.com/product/71504317694.html?_fd=jdm&amp;price=134.00&amp;fs=1,班之宇食品饮料专营店
【伊犁馆】新疆特产树上干杏 一杏两吃 自然风干吊死杏干 420g/袋 420g装,29.90,5000,https://item.m.jd.com/product/59100069373.html?_fd=jdm&amp;price=29.90&amp;fs=1,中国特产·伊犁馆
新疆库车小白杏干2021新货树上杏干吊干杏 杏干1斤g,28.42,4,https://item.m.jd.com/product/10037992530111.html?_fd=jdm&amp;price=28.42&amp;fs=1,璟瑞名海食品专营店
新疆阿克苏吊干杏杏干树上干杏杏仁一杏两吃晾晒500g 新疆杏干4斤,214.00,0,https://item.m.jd.com/product/70781799049.html?_fd=jdm&amp;price=214.00&amp;fs=1,沫娅娜熟食卤味专营店
唇战 土耳其杏干250g大杏干非新疆杏脯无核大黑杏干原色原味孕妇零食 精选黒杏干250gX1罐,26.80,53,https://item.m.jd.com/product/10029789641922.html?_fd=jdm&amp;price=26.80&amp;fs=1,唇战食品旗舰店
简农古树杏干新疆无核杏干新品新疆特产杏干休闲小零食120gX4包 4包简农无核杏干(4*120g),62.96,7,https://item.m.jd.com/product/10037212711802.html?_fd=jdm&amp;price=62.96&amp;fs=1,娘舅家旗舰店
西域果园新疆杏包仁120g三包杏干夹核桃仁抱抱果大漠马卡龙英吉沙杏干夹和田核桃仁休闲零食 杏包仁120gX3,39.90,5000,https://item.m.jd.com/product/67359091479.html?_fd=jdm&amp;price=39.90&amp;fs=1,西域果园地方特产旗舰店
新疆特产杏干晒原味吊干杏新鲜散装吊干杏 二级吊干杏500克×1包,23.00,4,https://item.m.jd.com/product/71069828156.html?_fd=jdm&amp;price=23.00&amp;fs=1,澳荣联德食品专营店
新疆阿克苏吊干杏杏干树上干杏杏仁一杏两吃晾晒500g 新疆杏干2斤,125.00,0,https://item.m.jd.com/product/70781799047.html?_fd=jdm&amp;price=125.00&amp;fs=1,沫娅娜熟食卤味专营店
问君 新疆特产杏干树上吊干杏果脯蜜饯果干休闲食品杏脯500g/袋 500g,26.90,200,https://item.m.jd.com/product/68819906705.html?_fd=jdm&amp;price=26.90&amp;fs=1,耕正食品专营店
【京选推荐】吊干杏新疆杏干树上干杏脯晾晒免洗吊杏干杏仁 二级1斤 今年新货,19.00,3,https://item.m.jd.com/product/10030984061651.html?_fd=jdm&amp;price=19.00&amp;fs=1,过客食品饮料专营店
宏泰记果脯蜜饯话梅肉陈皮酵素梅新疆玉杏无花果酸Q梅杨梅蓝莓李果组合办公室休闲零食混合果干 美味西梅500g,24.80,1000,https://item.m.jd.com/product/32106442551.html?_fd=jdm&amp;price=24.80&amp;fs=1,大眼蛙食品专营店
【奎屯馆】新疆特产果丹皮 诗梦园 苹果杏子树莓味酸痛爽口开胃儿童休闲果脯零食 苹果味 500g,49.80,45,https://item.m.jd.com/product/66900469969.html?_fd=jdm&amp;price=49.80&amp;fs=1,中国特产·奎屯馆
新疆2020新货库车小白杏干超甜吊死干500g 1000克(),142.50,0,https://item.m.jd.com/product/70528061185.html?_fd=jdm&amp;price=142.50&amp;fs=1,申博食品专营店
新疆特产四团杏干天然晒原味吊干杏新鲜散装无蔗糖吊干杏 二级吊干杏500克x1包,22.85,10,https://item.m.jd.com/product/71315252350.html?_fd=jdm&amp;price=22.85&amp;fs=1,义和祥食品专营店
利吉氏金杏干利金杏干吉氏甜杏果干酸酸甜甜g*6袋装零食 利吉氏金杏干100g*15袋g,264.50,32,https://item.m.jd.com/product/10038145329068.html?_fd=jdm&amp;price=264.50&amp;fs=1,翔京旗舰店
星云湖 新疆轮台小白杏干 吊死干树上干自然风干 500g,39.90,100,https://item.m.jd.com/product/19281086471.html?_fd=jdm&amp;price=39.90&amp;fs=1,蝶本生鲜专营店
小小的我英吉沙色买提甜杏肉新疆杏干零食营养杏肉果干 杏肉畅享装100g*3袋,110.00,1,https://item.m.jd.com/product/10034056747137.html?_fd=jdm&amp;price=110.00&amp;fs=1,日式浅草旗舰店
