标题,图片链接,详情页,价格,运费,所在地,销量,评论数,店铺名称,标识
新疆金杏干果脯杏脯蜜饯水果干低糖红杏干天然无核偏酸甜红杏零食,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2200735679685/O1CN01ZCFHnQ2LPmcMUGD63_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d652491032273\u0026ns\u003d1\u0026abbucket\u003d16,14.80,200.00,山东临沂,600+,1597,兔千金旗舰店,['尚天猫，就购了']
杏干500g散装无核红杏条添加天然杏子酸甜蜜饯果干鲜杏脯肉非新疆,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/3099733994/O1CN01hH0Icy1fNIXrFrY9m_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d625883739176\u0026ns\u003d1\u0026abbucket\u003d16,11.80,25.00,浙江杭州,600+,2992,春江月食品旗舰店,['尚天猫，就购了']
红杏干新疆偏酸果干果脯肉净重500g杏脯干吊干杏肉孕妇无核杏子干,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/3242194549/O1CN01FCmBkE1jTUQNAztO1_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d654508228234\u0026ns\u003d1\u0026abbucket\u003d16,11.80,10.00,安徽黄山,600+,702,凡派旗舰店,"['尚天猫，就购了', '当季新品', '公益宝贝']"
新疆吊干杏四团树上干杏脯吊死干特级杏干2斤无添加天然杏子杏仁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/126441306/O1CN01djaycw1LWByM0psCo_!!126441306.jpg,https://item.taobao.com/item.htm?id\u003d657872047438\u0026ns\u003d1\u0026abbucket\u003d16#detail,25.00,0.00,新疆阿克苏,600+,297,136692666qq,"['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心', '卖家提供以下贴心服务：', '公益宝贝']"
新疆喀什英吉沙杏肉干无加糖无添加天然吊干杏干酸甜无核杏肉258g,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/389818823/O1CN01xnKOxM2F2zD0X8wWN_!!389818823-0-picasso.jpg,https://item.taobao.com/item.htm?id\u003d644556820619\u0026ns\u003d1\u0026abbucket\u003d16#detail,24.90,0.00,新疆乌鲁木齐,600+,3709,莉莉娅8899,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
树上风干杏新疆杏子抱抱果500g杏脯夹核桃仁杏包仁吊干杏肉夹果仁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2369065070/O1CN017Kek7p1nK6cjZ2Q2O_!!2369065070.jpg,https://item.taobao.com/item.htm?id\u003d607885711712\u0026ns\u003d1\u0026abbucket\u003d16#detail,21.90,0.00,新疆吐鲁番,500+,7942,taidi1958,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
新疆特产土耳其特级大黑杏干无添加天然无糖杏脯无核甜杏肉500g,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/711480404/O1CN01kQBDqr1Er4hibznxR_!!711480404.jpg,https://item.taobao.com/item.htm?id\u003d562638551096\u0026ns\u003d1\u0026abbucket\u003d16#detail,36.80,0.00,新疆乌鲁木齐,500+,2595,huanhuantete,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
250g新疆特产树上干小白杏干天然非糖渍吊孕妇零食干果甜杏死干杏,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/112718343/TB2PAKSnw0kpuFjSspdXXX4YXXa_!!112718343.jpg,https://item.taobao.com/item.htm?id\u003d1432516033\u0026ns\u003d1\u0026abbucket\u003d16#detail,16.90,10.00,新疆乌鲁木齐,500+,4465,阿凡提新疆特产总店,"['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心', '卖家提供以下贴心服务：', '公益宝贝']"
新疆黑杏干无添加树上吊干大黑杏干无糖天然大丑杏干特级果干500g,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/389818823/O1CN01JKET2r2F2zD6rlzmE_!!389818823-0-picasso.jpg,https://item.taobao.com/item.htm?id\u003d580876853924\u0026ns\u003d1\u0026abbucket\u003d16#detail,32.90,0.00,新疆乌鲁木齐,500+,4851,莉莉娅8899,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
土耳其大黑杏干500g新疆特级天然无添加无核杏脯进口零食特产包邮,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2481880438/O1CN01eAlBO31F6dyo6NJPf_!!2481880438.jpg,https://item.taobao.com/item.htm?id\u003d588622878309\u0026ns\u003d1\u0026abbucket\u003d16#detail,35.50,0.00,新疆乌鲁木齐,500+,4924,大漠果农木子特产店,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
