raw_title,detail_url,view_price,view_fee,item_loc,view_sales,comment_count,user_id,nick,icon,comment_url,shopLink,shopcard.isTmall
新疆小白杏新鲜水果轮台杏子当季现摘特甜白杏子特产吊干杏小红杏,//item.taobao.com/item.htm?id=644749303156&ns=1&abbucket=10#detail,89.8,25.0,浙江 杭州,0,,3549422232,农家好兄弟,[],//item.taobao.com/item.htm?id=644749303156&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3549422232,False
新疆杏干蜜饯吊死干酸甜特产新鲜风干散装吊干杏肉无添加食品500g,//item.taobao.com/item.htm?id=589283118741&ns=1&abbucket=10#detail,29.0,0.0,新疆 乌鲁木齐,0,,3257800872,yuxi钰玺,['公益宝贝'],//item.taobao.com/item.htm?id=589283118741&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3257800872,False
新疆黑杏干无添加树上吊干大黑杏干无糖天然大丑杏干特级果干500g,//detail.tmall.com/item.htm?id=663243137275&ns=1&abbucket=10,52.77,25.0,广东 潮州,0,,2212759506332,闻香赞旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=663243137275&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212759506332,True
新疆喀什英吉沙杏肉干无加糖无添加天然吊干杏干酸甜无核杏肉258g,//detail.tmall.com/item.htm?id=662826488204&ns=1&abbucket=10,42.37,25.0,广东 潮州,0,,2212759506332,闻香赞旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=662826488204&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212759506332,True
新疆杏肉500g包邮甘草杏无核大杏干酸甜杏脯小袋装蜜饯果,//detail.tmall.com/item.htm?id=659870003374&ns=1&abbucket=10,39.75,0.0,天津,0,,2212669469619,庭上客旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=659870003374&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212669469619,True
西域勇士杏好域见杏脯夹核桃新疆特产真空包装独立包装,//item.taobao.com/item.htm?id=620113081586&ns=1&abbucket=10#detail,58.0,0.0,新疆 乌鲁木齐,0,1.0,2487321892,139丹龙,['公益宝贝'],//item.taobao.com/item.htm?id=620113081586&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2487321892,False
杏干500g散装无核红杏条新疆果干杏子酸甜蜜饯添加鲜杏脯肉非天然,//detail.tmall.com/item.htm?id=661405732366&ns=1&abbucket=10,23.22,25.0,浙江 杭州,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=661405732366&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
新疆无核杏脯大黑特产甜特产土耳其杏干杏肉500g包邮,//detail.tmall.com/item.htm?id=662623619768&ns=1&abbucket=10,52.93,23.0,四川 自贡,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=662623619768&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
零食吊干杏干蜜饯非特产红杏干杏脯添加无核新疆杏肉果干天然甘草,//detail.tmall.com/item.htm?id=662586011348&ns=1&abbucket=10,23.22,25.0,浙江 杭州,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=662586011348&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
零食天然甜杏肉160g新疆杏干果干果脯孕妇无添加无核酸甜,//detail.tmall.com/item.htm?id=662566583084&ns=1&abbucket=10,54.24,25.0,浙江 金华,0,,2207348707413,鲜忙旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=662566583084&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207348707413,True
